Gene,Inheritance
AARS1,AD
AARS2,AR
ABAT,AR
ABCA3,AR
ABCA4,AR
ABCB4,AR
ABCB6,AD
ABCB6,AD
ABCB7,XL
ABCC8,SD
ABCC9,AD
ABCD1,XL
ABCD3,AR
ABCD4,AR
ABCG5,AR
ABCG8,AR
ABHD12,AR
ABHD5,AR
ACAD8,AR
ACAD9,AR
ACADM,AR
ACADS,AR
ACADSB,AR
ACADVL,AR
ACAT1,AR
ACAT2,UD
ACD,SD
ACO2,AD
ACO2,AR
ACOX1,AD
ACOX1,AR
ACSF3,AR
ACSL4,XL
ACTA1,AR
ACTA1,AD
ACTB,AD
ACTC1,AD
ACTC1,AD
ACTC1,AD
ACTG1,AD
ACTG1,AD
ACTL6A,AD
ACTN1,AD
ACVR1,AD
ACVR1,AD
ACY1,AR
ADA,AR
ADA2,AR
ADAM17,AD
ADAM9,AR
ADAMTS13,AR
ADAMTS18,AR
ADAMTS19,AR
ADAMTS9,AR
ADAR,AR
ADAR,AR
ADAR,AD
ADCY1,AR
ADD3,AR
ADGRV1,AR
ADGRV1,AR
ADK,AR
ADNP,AD
ADRA2B,AD
ADSL,AR
AFF2,XL
AFG2A,AR
AFG2B,AR
AFG3L2,SD
AGA,AR
AGK,AR
AGL,AR
AGO2,AD
AGPAT2,AR
AGTR2,XL
AGXT,AR
AHDC1,AD
AHI1,AR
AIFM1,XL
AIRE,AR
AK2,AR
AK7,AR
AK7,AR
AKAP9,AD
AKR1D1,AR
AKT3,AD
AKT3,AD
ALAS2,XL
ALDH18A1,SD
ALDH5A1,AR
ALG1,AR
ALG11,AR
ALG12,AR
ALG14,AR
ALG2,AR
ALG3,AR
ALG6,AR
ALG6,AD
ALG9,AD
ALPK3,AR
ALPL,AD
ALPL,AR
ALPL,AD
ALPL,AR
ALS2,AR
ALX1,AR
ALX3,AR
AMACR,AR
AMER1,XL
ANAPC1,AR
ANG,AD
ANGPT1,AD
ANGPTL3,AR
ANK1,AR
ANK1,AD
ANK2,AD
ANK2,AD
ANK2,AD
ANKRD1,AD
ANKRD1,AD
ANKRD1,AD
ANKRD11,AD
ANKRD26,AD
ANKS6,AR
ANO10,AR
ANO6,AR
ANOS1,XL
ANTXR2,AR
ANXA11,AD
AP1B1,AR
AP1G1,AD
AP1G1,AR
AP1S1,AR
AP1S2,XL
AP2M1,AD
AP3B1,AR
AP4B1,AR
AP4M1,AR
AP4S1,AR
AP5Z1,AR
APC,AD
APC,AD
APC2,AR
APOB,SD
APOL1,AR
APOLD1,AD
APPL1,AD
AQP1,AD
AR,XL
ARF1,AD
ARHGEF1,AR
ARHGEF10,AD
ARHGEF18,AR
ARHGEF28,SD
ARID1A,AD
ARID1B,AD
ARID2,AD
ARL13B,AR
ARL6IP1,AR
ARMC2,AR
ARMC9,AR
ARPC1B,AR
ARSA,AR
ARSB,AR
ARX,XL
ASAH1,AR
ASB10,AD
ASH1L,AD
ASPA,AR
ASXL1,AD
ASXL2,AD
ASXL3,AD
ATE1,AR
ATF6,AR
ATG5,AR
ATG7,AR
ATL1,AD
ATL3,AD
ATM,AR
ATP13A2,AR
ATP13A3,SD
ATP1A1,AD
ATP1A3,AD
ATP5MK,AR
ATP6AP2,XL
ATP6V0A2,AR
ATP6V1A,AR
ATP6V1B1,AR
ATP6V1E1,AR
ATP7A,XL
ATP7A,XL
ATP7B,AR
ATPAF2,AR
ATRIP,AD
ATRX,XL
ATXN2,AD
AUTS2,AD
AVPR1A,UD
AXIN2,AD
B2M,AR
B4GALNT1,AR
B4GAT1,AR
B9D1,AR
B9D2,AR
BACH2,AD
BAG3,AD
BANF1,AR
BAP1,AD
BARD1,AD
BARD1,AD
BAZ2B,AD
BBS10,AR
BBS9,AR
BCAP31,XL
BCAT2,AR
BCKDHA,AR
BCKDHB,AR
BCL10,AR
BCL11A,AD
BCL9,AD
BCOR,XL
BCORL1,XL
BCS1L,AR
BCS1L,AR
BEST1,AD
BIN1,AD
BLK,AD
BLM,AR
BLNK,AR
BLOC1S5,AR
BLOC1S6,AR
BMP10,AD
