Gene,Inheritance
A2M,"AR (Anterior segment dysgenesis 8); AR (?Keratosis pilaris atrophicans); AD (Developmental dysplasia of the hip 3); AR (Hemochromatosis, type 2B); AD ({Otitis media, susceptibility to}); AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); {Myocardial infarction, susceptibility to}",
A2ML1,"AD ({Otitis media, susceptibility to})",
A4GALT,"[Blood group, P1Pk system, p phenotype]; [Blood group, P1Pk system, P(2) phenotype]; NOR polyagglutination syndrome; [Blood group, globoside system]; [Blood group, P1PK system, P(k) phenotype]",
AAAS,"AR (Achalasia-addisonianism-alacrimia syndrome); AD (Aortic aneurysm, familial abdominal 1); {Transcription of plasminogen activator inhibitor, modulator of}; AR (Plasminogen activator inhibitor-1 deficiency); AR (Alacrima, achalasia, and impaired intellectual development syndrome)",
AAGAB,"AD (Keratoderma, palmoplantar, punctate type IA)",
AARS1,"AD (?Leukoencephalopathy, hereditary diffuse, with spheroids 2); AD (Charcot-Marie-Tooth disease, axonal, type 2N); AR (Developmental and epileptic encephalopathy 29); AR (Trichothiodystrophy 8, nonphotosensitive); AR (?Trichothiodystrophy 9, nonphotosensitive); AD (Charcot-Marie-Tooth disease, axonal, type 2U); AR (Interstitial lung and liver disease); AR (Spastic paraplegia 70, autosomal recessive)",
AARS2,"AR (Combined oxidative phosphorylation deficiency 8); AR (Leukoencephalopathy, progressive, with ovarian failure)",
AARSD1,"AD (?Leukoencephalopathy, hereditary diffuse, with spheroids 2); AD (Charcot-Marie-Tooth disease, axonal, type 2N); AR (Developmental and epileptic encephalopathy 29); AR (Trichothiodystrophy 8, nonphotosensitive)",
AASS,"AR (Hyperlysinemia); AR (2,4-dienoyl-CoA reductase deficiency)",
AATK,Fragile X syndrome; Fragile X tremor/ataxia syndrome; Premature ovarian failure 1,
ABAT,"AR (GABA-transaminase deficiency); AD ({Autism, susceptibility to, 14B}); AD (Chromosome 16p11.2 duplication syndrome); AD ({Autism susceptibility 14A}); AD (Chromosome 16p11.2 deletion syndrome, 593kb)",
ABCA1,"AD (HDL deficiency, familial, 1); AR (Tangier disease); AD ({Diabetes, type 2}); AD (Insulin resistance, severe, digenic); AD (Lipodystrophy, familial partial, type 3); AR (Obesity, severe); AR (Sitosterolemia 2); {Gallbladder disease 4}; AR (Sitosterolemia 1)",
ABCA10,"AR (Hypertrichosis terminalis, generalized, with or without gingival hyperplasia)",
ABCA12,"AR (Ichthyosis, congenital, autosomal recessive 4A); AR (Ichthyosis, congenital, autosomal recessive 4B (harlequin))",
ABCA13,AD ({Major affective disorder 1}),
